season	episode	title	arc_name	quote	desc	url	stream
6	5	An Old Friend	Banking Clan Corruption	To love is to trust. To trust is to believe.	While on Scipio to fund a mercy mission, Padmé Amidala is called upon by an old friend, Rush Clovis, to help uncover corruption in the Banking Clan. They must evade the bounty hunter Embo to escape the planet with the incriminating information.	https://www.starwars.com/tv-shows/clone-wars/an-old-friend-episode-guide	https://www.disneyplus.com/video/64438a1c-f629-4085-b461-33fac7ea99ba?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S06Ep05_BuyWatchCTA-NA
6	6	The Rise of Clovis	Banking Clan Corruption	Jealousy is the path to chaos.	Back on Coruscant, Clovis -- known traitor of the Republic -- makes a dubious deal which puts him at the head of the Banking Clan. Anakin's increasing distrust and hatred of Clovis strains his relationship with Padmé to the breaking point.	https://www.starwars.com/tv-shows/clone-wars/the-rise-of-clovis-episode-guide	https://www.disneyplus.com/video/cad54530-94eb-4b92-b380-b0a807d195c5?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S06Ep06_BuyWatchCTA-NA
6	7	Crisis at the Heart	Banking Clan Corruption	Deceit is the weapon of greed.	Rush Clovis' deal with the Separatists backfires and brings war to the banking world of Scipio.	https://www.starwars.com/tv-shows/clone-wars/crisis-at-the-heart-episode-guide	https://www.disneyplus.com/video/2a2fc61d-3813-4cf8-88a7-cab1975cee35?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S06Ep07_BuyWatchCTA-NA
6	1	The Unknown	Clone Protocol 66	The truth about yourself is the hardest to accept.	Clone trooper Tup succumbs to a mysterious mental illness that results in the shocking death of a Jedi Master. Unable to account for his murderous actions, Tup is sedated and sent back to Kamino for examination. Meanwhile, Admiral Trench of the Separatists informs Count Dooku of the betrayal, and is convinced that the killing stems from something deeper. Anakin Skywalker and ARC Trooper Fives accompany Tup, but their return trip is ambushed by Separatists.	https://www.starwars.com/tv-shows/clone-wars/the-unknown-episode-guide	https://www.disneyplus.com/video/ec135b2d-d990-4564-99d4-2e3a2ee866bd?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S06Ep01_BuyWatchCTA-NA
6	2	Conspiracy	Clone Protocol 66	The wise benefit from a second opinion.	In the sterile laboratories of Kamino, the ailing clone trooper Tup and his friend ARC Trooper Fives are quarantined for examination following Tup's shocking murder of a Jedi Master. With the help of medical droid AZI-3, Fives is determined to get to the bottom of Tup's condition and uncovers a secret buried deep within the Republic's cloning program.	https://www.starwars.com/tv-shows/clone-wars/conspiracy-episode-guide	https://www.disneyplus.com/video/d4e8fd92-4d92-494d-8d49-d5b148bdcbb5?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S06Ep02_BuyWatchCTA-NA
6	3	Fugitive	Clone Protocol 66	When in doubt, go to the source.	The body of clone trooper Tup is scheduled for transport to Coruscant, where Chancellor Palpatine's own doctors will closely examine it. ARC Trooper Fives breaks protocol and defies orders to dig up answers, and discovers that there is an organic construct of unknown purpose hidden in the brains of all clone troopers.	https://www.starwars.com/tv-shows/clone-wars/fugitive-episode-guide	https://www.disneyplus.com/video/e3d63b2f-8e40-4064-9fe8-1f32299f17d3?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S06Ep03_BuyWatchCTA-NA
6	4	Orders	Clone Protocol 66	The popular belief isn't always the correct one.	Fives continues to push for answers regarding the mystery of the clone contamination and secures an audience with Supreme Chancellor Palpatine. But the situation quickly collapses when Fives is accused of attacking the Chancellor, and he must flee deep into the Coruscant cityscape while pursued by fellow clone troopers.	https://www.starwars.com/tv-shows/clone-wars/orders-episode-guide	https://www.disneyplus.com/video/46c3decc-a11c-4d2e-a792-069ebe535003?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S06Ep04_BuyWatchCTA-NA
.	.	The Enemy of My Enemy	Son of Dathomir	An ally betrayed is an adversary created.	After forming the Shadow Collective—a criminal organization composed of the Hutts, Black Sun, the Mandalorians, and the fearsome Nightbrothers—Darth Maul wages war against Darth Sidious and his generals, Count Dooku and General Grievous!	https://starwars.fandom.com/wiki/Darth_Maul%E2%80%94Son_of_Dathomir_1	https://www.youtube.com/watch?v=hWAkCt4q3o0
.	.	A Tale of Two Apprentices	Son of Dathomir	Even the largest prey may be caught with the right trap.	After forming the Shadow Collective—a criminal organization composed of the Hutts, Black Sun, the Mandalorians, and the fearsome Nightbrothers—Darth Maul wages war against Darth Sidious and his generals, Count Dooku and General Grievous!	https://starwars.fandom.com/wiki/Darth_Maul%E2%80%94Son_of_Dathomir_2	https://www.youtube.com/watch?v=fqqj5rJd4W4
.	.	Proxy War	Son of Dathomir	A strong foe can make a stronger ally.	After forming the Shadow Collective—a criminal organization composed of the Hutts, Black Sun, the Mandalorians, and the fearsome Nightbrothers—Darth Maul wages war against Darth Sidious and his generals, Count Dooku and General Grievous!	https://starwars.fandom.com/wiki/Darth_Maul%E2%80%94Son_of_Dathomir_3	https://www.youtube.com/watch?v=-0mIrVaGZi4
.	.	Showdown on Dathomir	Son of Dathomir	An alliance built on deception cannot last.	After forming the Shadow Collective—a criminal organization composed of the Hutts, Black Sun, the Mandalorians, and the fearsome Nightbrothers—Darth Maul wages war against Darth Sidious and his generals, Count Dooku and General Grievous!	https://starwars.fandom.com/wiki/Darth_Maul%E2%80%94Son_of_Dathomir_4	https://www.youtube.com/watch?v=R6Lk0YagAS0
6	10	The Lost One	Yoda's Journey	What is lost is often found.	A Jedi mission finds a lightsaber belonging to the long-dead Master Sifo-Dyas, prompting Yoda, Obi-Wan Kenobi, and Anakin Skywalker to begin an investigation into his decade-old disappearance. This sparks Darth Sidious to order Darth Tyranus to clean up any loose ends that may lead the Jedi to discover the truth of the Sith conspiracy.	https://www.starwars.com/series/clone-wars/the-lost-one-episode-guide	https://www.disneyplus.com/video/f8d1131b-c197-4e8e-b1a5-9f9ad5e7cb9b?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S06Ep10_BuyWatchCTA-NA
6	11	Voices	Yoda's Journey	Madness can sometimes be the path to truth.	Yoda is deeply unsettled when he hears something from beyond the grave: the voice of Qui-Gon Jinn. Knowing that it is impossible for a Jedi to retain his identity after death, the Jedi Council begins to worry that Yoda may be corrupted by the influence of the dark side. Determined to find answers, Yoda escapes the Jedi Temple to follow the disembodied voice.	https://www.starwars.com/series/clone-wars/voices-episode-guide	https://www.disneyplus.com/video/ced4924c-6c39-4346-b07e-d22fb33de653?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S06Ep11_BuyWatchCTA-NA
6	12	Destiny	Yoda's Journey	Death is just the beginning.	Letting the Force guide him, Yoda voyages into the heart of the galaxy to an ancient world that is one of the wellsprings of the Force and the source of midi-chlorians. Yoda undergoes difficult trials administered by the Five Priestesses, mysterious Force-wielders who hold the secret to immortality.	https://www.starwars.com/series/clone-wars/destiny-episode-guide	https://www.disneyplus.com/video/99e77e6b-d43a-4f6f-b07c-51d48ee4c3bd?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S06Ep12_BuyWatchCTA-NA
6	13	Sacrifice	Yoda's Journey	Facing all that you fear will free you from yourself.	After many grueling trials, Yoda next travels to the ancient Sith home world of Moraband, where he must face an ancient evil determined to rule the galaxy.	https://www.starwars.com/series/clone-wars/sacrifice-episode-guide	https://www.disneyplus.com/video/37357ff9-88a7-4652-b16e-cda4808d1930?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S06Ep13_BuyWatchCTA-NA
7	1	The Bad Batch	The Bad Batch	Embrace others for their differences, for that makes you whole.	The clones look to uncover the source of the Separatists' strategies...and bring in an elite squad called the Bad Batch.	https://www.starwars.com/series/clone-wars/the-bad-batch-episode-guide	https://www.disneyplus.com/en-gb/video/9ee46453-c414-4c89-b3ef-b0d4d1c001fc?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_StreamNowCTA-NA
7	2	A Distant Echo	The Bad Batch	The search for truth begins with belief.	Rex, Anakin, and the Bad Batch look to uncover the truth surrounding a mysterious Separatist signal.	https://www.starwars.com/series/clone-wars/a-distant-echo-episode-guide	https://www.disneyplus.com/en-gb/video/cbcde944-1622-4f15-a136-47a85e7f75c1?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_StreamNowCTA-NA
7	3	On the Wings of Keeradaks	The Bad Batch	Survival is one step on the path to living.	Rex has found his friend, Echo, in the clutches of the Techno Union. But the rescue is just beginning.	https://www.starwars.com/series/clone-wars/on-the-wings-of-keeradaks-episode-guide	https://www.disneyplus.com/en-gb/video/1df8336f-23c4-437a-a360-043e5cb26a41?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_StreamNowCTA-NA
7	4	Unfinished Business	The Bad Batch	Trust placed in another is trust earned.	Echo hatches a plan to end the Separatist threat on Anaxes once and for all. But where do his loyalties really lie?	https://www.starwars.com/series/clone-wars/unfinished-business-episode-guide	https://www.disneyplus.com/video/2aba28e0-4dbe-49ab-9512-fa856ff1e791?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_StreamNowCTA-NA
7	5	Gone with a Trace	Ahsoka & The Martez Sisters	If there is no path before you, create your own.	Ahsoka Tano, no longer part of the Jedi Order, finds herself in the lower levels of Coruscant.	https://www.starwars.com/series/clone-wars/gone-with-a-trace-episode-guide	https://www.disneyplus.com/en-gb/video/a1dfba86-2134-41e9-8794-e8040896bef6?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_StreamNowCTA-NA
7	6	Deal No Deal	Ahsoka & The Martez Sisters	Mistakes are valuable lessons often learned too late.	Rafa lands a dangerous job running spice — and she needs Ahsoka and Trace's help.	https://www.starwars.com/series/clone-wars/deal-no-deal-episode-guide	https://www.disneyplus.com/en-gb/video/7ed29bb0-bfff-462c-ae96-f89a4f3f89e2?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_StreamNowCTA-NA
7	7	Dangerous Debt	Ahsoka & The Martez Sisters	Who you were does not have to define who you are.	Captured by the Pyke Syndicate, Ahsoka and the Martez sisters attempt a daring escape.	https://www.starwars.com/series/clone-wars/dangerous-debt-episode-guide	https://www.disneyplus.com/video/468b341b-4d54-4adf-823f-8934ff05800b?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_StreamNowCTA-NA
7	8	Together Again	Ahsoka & The Martez Sisters	You can change who you are, but you cannot run from yourself	Captured by the Pykes once more, Ahsoka and the Martez sisters are running out of options.	https://www.starwars.com/series/clone-wars/together-again-episode-guide	https://www.disneyplus.com/video/c59f5965-71d6-40e5-8650-ddf076125e0d?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_StreamNowCTA-NA
7	9	Old Friends Not Forgotten	Siege of Mandalore		The Siege of Mandalore begins, and Ahsoka turns to Anakin and Obi-Wan for help.	https://www.starwars.com/series/clone-wars/old-friends-not-forgotten-episode-guide	https://www.disneyplus.com/video/0626c961-a67c-4203-bee2-a8166e95b895?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_StreamNowCTA-NA
7	10	The Phantom Apprentice	Siege of Mandalore		The battle for Mandalore continues, and Ahsoka finds herself face to face with Maul.	https://www.starwars.com/series/clone-wars/the-phantom-apprentice-episode-guide	https://www.disneyplus.com/video/24dd0033-1f7d-492e-9114-63a684fa4f78?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_StreamNowCTA-NA
7	11	Shattered	Siege of Mandalore		Maul is captured and the Siege of Mandalore is won. But evil lurks elsewhere, and the galaxy will never be the same.	https://www.starwars.com/series/clone-wars/shattered-episode-guide	https://www.disneyplus.com/video/cfcd7267-d3d1-4e98-92d6-3129b4c8d686?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_StreamNowCTA-NA
7	12	Victory and Death	Siege of Mandalore		In the wake of Order 66, Ahsoka and Rex must work together to survive.	https://www.starwars.com/series/clone-wars/victory-and-death-episode-guide	https://www.disneyplus.com/video/f21bd5ab-d24d-4a4a-b09c-d09d4361148b?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_StreamNowCTA-NA
